Name,Financial Status,Fulfillment Status,Taxes,Total,Discount Amount,Created_at (UTC),Lineitem quantity,Lineitem price,Cancelled at,Payment Method,Refunded Amount,Location,Source,Lineitem name,Day,Day_Type,Hour,Month,Horario_correcto
MX29-2002,paid,unfulfilled,248.28,1800.0,0.0,30/01/2018 18:35:00,1,1799.99,30/1/2018,Gift Card,0.0,Tienda A,pos,DARIA,Martes,Entre Semana,18,Enero,True
MX29-2003,paid,fulfilled,0.0,0.0,1800.0,30/01/2018 18:40:00,1,1799.99,No cancelado,No efectuado,0.0,Tienda A,pos,ALDOUS,Martes,Entre Semana,18,Enero,True
MX29-2004,paid,fulfilled,248.28,1800.0,0.0,30/01/2018 18:57:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ESQUIVEL,Martes,Entre Semana,18,Enero,True
MX29-2005,paid,fulfilled,19.31,140.0,0.0,30/01/2018 19:03:00,2,15.0,No cancelado,Cash,0.0,Tienda A,pos,Polanco,Martes,Entre Semana,19,Enero,True
MX29-2006,paid,fulfilled,248.28,1800.0,0.0,30/01/2018 19:18:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ALDOUS,Martes,Entre Semana,19,Enero,True
MX29-2030,paid,fulfilled,448.28,3250.0,150.0,01/02/2018 18:32:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,LUCAS,Jueves,Entre Semana,18,Febrero,True
MX29-2031,paid,fulfilled,248.28,1800.0,0.0,01/02/2018 19:59:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,MOLEMAN,Jueves,Entre Semana,19,Febrero,True
MX29-2038,paid,fulfilled,248.28,1800.0,0.0,02/02/2018 19:13:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,SEYMOUR,Viernes,Fin de Semana,19,Febrero,True
MX29-2039,paid,fulfilled,0.0,0.0,1800.0,02/02/2018 19:16:00,1,1799.99,No cancelado,No efectuado,0.0,Tienda A,pos,JANIS,Viernes,Fin de Semana,19,Febrero,True
MX29-2040,paid,fulfilled,227.58,1650.0,150.0,02/02/2018 19:41:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,JANIS,Viernes,Fin de Semana,19,Febrero,True
MX29-2041,paid,fulfilled,344.83,2500.0,0.0,02/02/2018 19:49:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,JANIS,Viernes,Fin de Semana,19,Febrero,True
MX29-2046,paid,fulfilled,248.28,1800.0,0.0,03/02/2018 18:45:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,HAWKING,Sábado,Fin de Semana,18,Febrero,True
MX29-2047,paid,fulfilled,400.0,2900.0,0.0,03/02/2018 19:08:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,RUDYARD,Sábado,Fin de Semana,19,Febrero,True
MX29-2048,paid,fulfilled,248.28,1800.0,0.0,03/02/2018 19:29:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,BARRAGAN,Sábado,Fin de Semana,19,Febrero,True
MX29-2049,paid,fulfilled,248.28,1800.0,0.0,03/02/2018 19:33:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,SEYMOUR,Sábado,Fin de Semana,19,Febrero,True
MX29-2050,paid,fulfilled,248.28,1800.0,0.0,03/02/2018 19:50:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,CLARK,Sábado,Fin de Semana,19,Febrero,True
MX29-2051,paid,fulfilled,248.28,1800.0,0.0,03/02/2018 19:57:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,TRUMAN,Sábado,Fin de Semana,19,Febrero,True
